Industry,2015,2016,2017,2018,2019
Aerospace/Defense,9,14,8,12,11
Apparel,12,9,0,4,14
Automotive,25,18,5,24,12
Cannabis,0,0,0,0,11
Chemical,13,9,5,8,4
Commodities,1,3,12,5,6
Computer,107,132,97,0,0
Construction,10,13,7,19,17
Consumer Products,34,35,30,39,30
Electronics,13,12,14,25,4
Energy,41,35,35,30,59
Entertainment/Leisure,65,73,60,55,75
Financial,137,156,119,154,129
FinTech,0,0,0,0,11
Food,34,23,31,40,70
Government/Non-Profit,188,204,191,276,339
Health Care/Products,93,87,105,131,107
Hospitals,137,154,107,139,121
Industrial Goods,38,29,34,42,57
Insurance,24,16,26,16,20
Legal,5,4,2,3,5
Media,25,33,17,25,28
Pharmaceutical,42,37,47,48,61
Real Estate,27,27,14,27,31
Retail,34,37,41,35,63
Services,44,42,110,85,84
Technology,0,0,0,152,216
Telecommunications,13,9,12,10,7
Transportation,36,19,25,27,31
Utility,14,18,6,21,17
