,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
January,219,157,132,128,131,110,131,113,123,96,89,113,134,114
February,128,124,113,72,87,94,112,110,104,92,132,82,114,127
March,,135,96,101,101,95,123,86,94,99,119,114,123,103
April,,97,109,91,108,97,94,94,90,103,101,78,112,126
May,,114,91,80,100,90,98,104,99,103,125,115,115,144
June,,99,90,95,97,102,103,94,99,113,107,105,126,105
July,,124,94,102,92,128,105,128,83,104,88,126,124,88
August,,159,154,96,109,107,119,113,104,104,95,101,144,124
September,,151,148,101,119,104,124,107,95,108,111,105,140,112
October,,172,149,105,99,94,122,104,108,91,81,89,125,96
November,,148,147,94,106,86,103,94,112,82,79,94,104,132
December,,160,129,95,99,114,107,99,103,83,107,105,123,85
