Industry,Year,CEO Exits,,,
Aerospace/Defense,2019,11,,,
Apparel,2019,14,,,
Automotive,2019,12,,,
Cannabis,2019,11,,,
Chemical,2019,4,,,
Commodities,2019,6,,,
Construction,2019,17,,,
Consumer Products,2019,30,,,
Electronics,2019,4,,,
Energy,2019,59,,,
Entertainment/Leisure,2019,75,,,
Financial,2019,129,,,
FinTech,2019,11,,,
Food,2019,70,,,
Government/Non-Profit,2019,339,,,
Health Care/Products,2019,107,,,
Hospitals,2019,121,,,
Industrial Goods,2019,57,,,
Insurance,2019,20,,,
Legal,2019,5,,,
Media,2019,28,,,
Pharmaceutical,2019,61,,,
Real Estate,2019,31,,,
Retail,2019,63,,,
Services,2019,84,,,
Technology,2019,216,,,
Telecommunications,2019,7,,,
Transportation,2019,31,,,
Utility,2019,17,,,
Aerospace/Defense,2018,12,,,
Apparel,2018,4,,,
Automotive,2018,24,,,
Cannabis,2018,0,,,
Chemical,2018,8,,,
Commodities,2018,5,,,
Construction,2018,19,,,
Consumer Products,2018,39,,,
Electronics,2018,25,,,
Energy,2018,30,,,
Entertainment/Leisure,2018,55,,,
Financial,2018,154,,,
FinTech,2018,0,,,
Food,2018,40,,,
Government/Non-Profit,2018,276,,,
Health Care/Products,2018,131,,,
Hospitals,2018,139,,,
Industrial Goods,2018,42,,,
Insurance,2018,16,,,
Legal,2018,3,,,
Media,2018,25,,,
Pharmaceutical,2018,48,,,
Real Estate,2018,27,,,
Retail,2018,35,,,
Services,2018,85,,,
Technology,2018,152,,,
Telecommunications,2018,10,,,
Transportation,2018,27,,,
Utility,2018,21,,,
Aerospace/Defense,2017,8,,,
Apparel,2017,0,,,
Automotive,2017,5,,,
Chemical,2017,5,,,
Commodities,2017,12,,,
Computer,2017,97,,,
Construction,2017,7,,,
Consumer Products,2017,30,,,
Electronics,2017,14,,,
Energy,2017,35,,,
Entertainment/Leisure,2017,60,,,
Financial,2017,119,,,
Food,2017,31,,,
Government/Non-Profit,2017,191,,,
Health Care/Products,2017,105,,,
Hospitals,2017,107,,,
Industrial Goods,2017,34,,,
Insurance,2017,26,,,
Legal,2017,2,,,
Media,2017,17,,,
Pharmaceutical,2017,47,,,
Real Estate,2017,14,,,
Retail,2017,41,,,
Services,2017,110,,,
Telecommunications,2017,12,,,
Transportation,2017,25,,,
Utility,2017,6,,,
Aerospace/Defense,2016,14,,,
Apparel,2016,9,,,
Automotive,2016,18,,,
Chemical,2016,9,,,
Commodities,2016,3,,,
Computer,2016,132,,,
Construction,2016,13,,,
Consumer Products,2016,35,,,
Electronics,2016,12,,,
Energy,2016,35,,,
Entertainment/Leisure,2016,73,,,
Financial,2016,156,,,
Food,2016,23,,,
Government/Non-Profit,2016,204,,,
Health Care/Products,2016,87,,,
Hospitals,2016,154,,,
Industrial Goods,2016,29,,,
Insurance,2016,16,,,
Legal,2016,4,,,
Media,2016,33,,,
Pharmaceutical,2016,37,,,
Real Estate,2016,27,,,
Retail,2016,37,,,
Services,2016,42,,,
Telecommunications,2016,9,,,
Transportation,2016,19,,,
Utility,2016,18,,,
Aerospace/Defense,2015,9,,,
Apparel,2015,12,,,
Automotive,2015,25,,,
Chemical,2015,13,,,
Commodities,2015,1,,,
Computer,2015,107,,,
Construction,2015,10,,,
Consumer Products,2015,34,,,
Electronics,2015,13,,,
Energy,2015,41,,,
Entertainment/Leisure,2015,65,,,
Financial,2015,137,,,
Food,2015,34,,,
Government/Non-Profit,2015,188,,,
Health Care/Products,2015,93,,,
Hospitals,2015,137,,,
Industrial Goods,2015,38,,,
Insurance,2015,24,,,
Legal,2015,5,,,
Media,2015,25,,,
Pharmaceutical,2015,42,,,
Real Estate,2015,27,,,
Retail,2015,34,,,
Services,2015,44,,,
Telecommunications,2015,13,,,
Transportation,2015,36,,,
Utility,2015,14,,,
